	DTHY	h
precaución	Degu	BB
precautorio	Dehv	y
precautorio	Deih	y
precaver	DejT	p
precavido	Dej8	s
precavido	Deko	u
precedencia	DelW	5
precedente	DemP	BY
preceder	Denn	9
preceptivo	Deok	2
precepto	Depa	u
precepto	DeqI	z
preceptuar	Deq7	y
precesión	Dert	BE
preciado	Desx	q
precintar	Detb	9
precinto	DeuY	BB
preciosidad	DevZ	7
precioso	DewU	9
precioso	DexR	r
precipicio	Dex8	1
precipitación	Deyx	BD
precipitación	Dez0	BC
precipitado	De02	6
precipitado	De1w	0
precipitado	De2k	w
precipitar	De3U	BG
precipitar	De4a	BC
precisamente	De5c	BE
precisamente	De6g	u
precisar	De7O	5
precisar	De8H	s
precisión	De8z	3
precisión	De9q	2
preciso	De+g	i
preciso	De/1	x
preciso	De/C	z
precocidad	DfAm	4
precoz	DfBe	k
precoz	DfCC	m
precursor	DfCo	+
precursor	DfDm	2
precursor	DfEc	3
predecesor	DfFT	BR
predecir	DfGk	8
predecir	DfHg	+
predestinado	DfIe	y
predestinar	DfJQ	v
predicación	DfJ/	5
predicación	DfK4	4
predicado	DfLw	BC
predicador	DfMy	3
predicar	DfNp	o
predicar	DfOR	s
predicción	DfO9	BR
predicción	DfQO	BP
predilecto	DfRd	u
predilecto	DfSL	v
predio	DfS6	o
predio	DfTi	u
predisponer	DfUQ	x
predisposición	DfVB	BZ
predominante	DfWa	BH
predominante	DfXh	2
predominar	DfYX	BA
predominio	DfZX	6
prefabricado	DfaR	3
preferencia	DfbI	5
preferencia	DfcB	BR
preferencia	DfdS	5
preferencia	DfeL	3
preferencias	DffC	Bb
preferentemente	Dfgd	+
preferible	Dfhb	v
preferida	Dfi4	BO
preferido	DfiK	u
preferir	DfkG	9
preferir	DflD	BI
prefijo	DfmL	BB
prefijo	DfnM	2
pregonar	DfoC	q
pregonero	Dfos	5
pregonero	Dfpl	2
pregunta	Dfqb	s
preguntar	DfrH	k
prehistórico	Dfrr	3
prehistórico	Dfsi	u
prejuicio	DftQ	y
preliminar	DfuC	v
prematuro	Dfux	s
prematuro	Dfvd	s
premeditación	DfwJ	BV
premeditado	Dfxe	0
premiado	DfyS	s
premiar	Dfy+	m
premio	Df09	n
premio	Df0S	r
premio	Df1k	BC
premio	Dfzk	u
premura	Df2m	w
premura	Df3W	y
prenda	Df7C	BN
prenda	Df8P	o
prendar	Df83	j
prendedor	Df9a	z
prender	Df/2	k
prender	Df/R	l
prender	DgA+	h
prender	DgAa	k
prender	DgBf	k
prender fuego	Df+N	BE
prendido	DgCD	s
prensa	DgD+	p
prensa	DgDW	o
prensado	DgCv	n
prensar	DgEn	l
prensar	DgFM	i
prensatornillo	DgFu	BC
preocupación	DgGw	5
preocupada	DgIV	BL
preocupado	DgHp	s
preocupado	DgIV	BL
preocupar	DgO6	8
preocupar	DgP2	BA
preocupar	DgQ2	u
preocuparse	DgL6	BK
preocuparse	DgNE	/
preocuparse	DgOD	3
preocuparse de	DgJg	/
preocuparse de	DgKf	Bb
preparación	DgRk	9
preparación	DgSh	8
preparado	DgTd	q
preparado	DgUH	q
preparado	DgUx	v
preparado	DgVg	1
preparar	DgWV	t
preparar	DgXC	s
preparar	DgXu	r
preparar	DgYZ	q
preparativo	DgZD	8
preposición	DgZ/	8
prepotencia	Dga7	4
prepotente	Dgbz	t
presa	Dgcg	l
presa	DgdF	k
presa	Dgdp	t
presa	DgeW	BW
presa	Dgfs	o
presa política	DgjJ	BJ
presagiar	DggU	s
presagio	DghA	q
presagio	Dghq	v
presagio	DgiZ	w
presbiteriano	DgkS	BC
prescindible	DglU	1
prescindir	Dgm4	y
prescindir	DgmJ	v
prescribir	Dgnq	BP
prescribir	Dgo5	x
prescripción	Dgpq	BV
prescripción	Dgq/	BP
presencia	DgsO	1
presencia	Dgt2	y
presencia	DgtD	z
presencia	Dguo	BN
presencia	Dgv1	z
presenciar	Dgwo	x
presenciar	DgxZ	y
presenciar	DgyL	r
presentable	Dgy2	BB
presentación	Dg0z	/
presentación	Dg1y	BA
presentación	Dg2y	9
presentación	Dg3v	5
presentación	Dgz3	8
presentador	Dg4o	CF
presentadora	Dg4o	CF
presentar	Dg+G	q
presentar	Dg+w	q
presentar	Dg/a	BL
presentar	Dg6t	r
presentar	Dg7Y	u
presentar	Dg8G	r
presentar	Dg8x	r
presentar	Dg9c	q
presente	DhAl	n
presente	DhB3	o
presente	DhBM	r
presente	DhCf	BF
presente	DhDk	Bf
presentimiento	DhFD	BS
presentir	DhG7	s
presentir	DhGV	m
preservar	DhHn	4
preservar	DhIf	s
preservativo	DhJL	1
preservativo	DhK5	BT
preservativo	DhKA	5
preservativo	DhMM	5
preservativo	DhNF	BE
presidencia	DhOJ	BO
presidencia	DhPX	BB
presidencia	DhQY	BO
presidencial	DhRm	BI
presidenciales	DhSu	BV
presidenta	DhV4	6
presidenta	DhWy	5
presidenta autonómica	DhUD	B1
presidente	DhbJ	4
presidente	DhcB	5
presidente autonómico	DhXr	Bz
presidente del gobierno	DhZe	Br
presidiario	Dhc6	6
presidio	Dhd0	w
presidir	Dhek	x
presidir	DhfV	m
presionar	Dhf7	v
presionar	Dhgq	p
presión	Dhh9	BD
presión	DhhT	q
presión	DhjA	BC
preso	DhkC	g
preso	Dhki	BW
preso político	Dhl4	BK
prestación	Dhn4	2
prestación	DhnC	2
prestado	Dhou	n
prestamista	DhpV	7
prestar	Dhu+	BT
prestar	DhuN	x
prestar	DhwR	k
prestar atención	DhsZ	B0
prestigio	Dhw1	BT
prestigioso	DhyI	+
presumida	Dh0i	q
presumida	Dh1M	y
presumida	Dhz0	u
presumida	DhzG	u
presumido	Dh1+	v
presumir	Dh2t	/
presumir	Dh3s	n
presumir	Dh4T	n
presunción	Dh46	4
presunción	Dh5y	+
presuntamente	Dh6w	1
presunto	Dh7l	BJ
presuntuosa	Dh8u	x
presuntuoso	Dh9f	y
presuponer	Dh+R	w
presupuesto	Dh/B	BK
presupuesto	DiAL	/
pretencioso	DiBK	y
pretender	DiB8	q
pretender	DiCm	Bc
pretendiente	DiE8	5
pretendiente	DiEC	6
pretendiente	DiF1	3
pretendiente	DiGs	/
pretensión	DiHr	0
pretensión	DiIf	Be
pretensión	DiJ9	2
pretensión	DiKz	BJ
pretexto	DiTc	u
pretexto	DiUK	u
pretérito	DiPb	3
pretérito imperfecto	DiL8	BO
pretérito indefinido	DiNK	CR
pretérito perfecto	DiQS	Bq
pretérito pluscuamperfecto	DiR8	Bg
prevalecer	DiU4	BQ
prevaleciente	DiWI	6
prevaricación	DiXC	BG
prevención	DiYI	5
prevención	DiZ6	5
prevención	DiZB	5
prevención	Diaz	3
prevenir	Dibq	o
prevenir	Dic8	p
prevenir	DicS	q
prevenir	Didl	p
prevenir	Die3	r
prevenir	DieO	p
preventivo	Difi	BB
prever	Dihs	z
prever	Diif	l
prever de	Digj	BJ
previamente	DijE	5
previo	Dij9	3
previsible	Dik0	u
previsible	Dili	y
previsión	DimU	BM
previsión	Ding	0
previsto	DioU	p
preámbulo	DeWT	z
preámbulo	DeXG	y
preñado	Df4I	o
preñado	Df4w	o
preñado	Df5Y	j
preñar	Df57	h
preñar	Df6c	m
prieta	Dio9	0
prima	DirM	BK
prima carnal	Dipx	Bb
prima segunda	DiuY	/
primar	Dith	3
primario	Dis7	m
primario	DisW	l
primavera	Diwq	Bb
primavera de praga	DivX	BT
primer	Di/Q	Bf
primer ministro	Di8j	Bn
primera	Di/Q	Bf
primera guerra mundial	DiyF	BZ
primera guerra púnica	Dize	Be
primera ministra	Di2j	Bt
primera parte	Di4Q	BN
primera vuelta de las elecciones	Di5d	Bv
primeramente	Di08	4
primeramente	Di10	v
primerizo	Di72	t
primerizo	Di7M	q
primero	Di+K	j
primero	Di+t	j
primero	Di/Q	Bf
primitivo	DjAv	q
primitivo	DjBZ	p
primitivo	DjCC	r
primitivo	DjCt	p
primitivo	DjDW	m
primo	DjHa	6
primo carnal	DjD8	BZ
primo segundo	DjKo	+
primogénita	DjFV	CF
primogénito	DjFV	CF
primordial	DjIU	w
primordial	DjJ1	z
primordial	DjJE	x
princesa	DjMu	x
principado	DjNf	5
principal	DjOY	p
principal	DjPB	p
principal	DjPq	x
principalmente	DjQb	BP
principalmente	DjRq	+
principiante	DjTV	CF
principio	DjVa	BD
principio	DjWd	BH
pringado	DjXk	BL
pringado	DjYv	4
pringar	DjZn	o
pringar	DjaP	2
prioridad	DjbF	BL
prioridad	DjcQ	0
prisa	DjdE	k
prisionera	DjhA	CM
prisionera	DjjM	B/
prisionera de guerra	Djdo	BV
prisionero	Dje9	t
prisionero	DjhA	CM
prisionero de guerra	Djfq	BW
prisión	DjlL	v
prisión preventiva	Djl6	BT
prisma	DjnN	o
prismáticos	Djn1	5
privacidad	Djou	8
privación	Djpq	3
privación	Djqh	3
privado	Djr9	p
privado	DjrY	l
privado	Djsm	k
privado	DjtK	l
privado	Djtv	p
privar	Djv2	j
privar	DjvS	k
privar	DjwZ	m
privar de	DjuY	6
privilegiado	Djw/	z
privilegiado	Djxy	2
privilegiar	Djyo	y
privilegiar	Djza	w
privilegio	Dj0/	1
privilegio	Dj0K	1
proa	Dj10	h
probabilidad	Dj2V	BH
probable	Dj3c	u
probablemente	Dj4K	6
probado	Dj5E	m
probado	Dj5q	l
probador	Dj6P	5
probar	Dj+D	i
probar	Dj+l	j
probar	Dj/I	y
probar	Dj8I	l
probar	Dj8t	m
probar	Dj9T	w
probar suerte	Dj7I	BA
probeta	Dj/6	w
problema	DkAq	u
problema	DkBY	0
problemático	DkCM	1
problemático	DkDB	3
procedencia	DkD4	8
procedencia	DkE0	6
procedencia	DkFu	6
procedente	DkGo	0
procedente	DkHc	v
proceder	DkIL	+
proceder	DkJJ	q
proceder	DkJz	r
proceder	DkKe	BE
procedimiento	DkLi	9
procedimiento	DkMf	+
procedimiento	DkNd	8
procedimiento	DkOZ	Ba
procesada	DkPz	CN
procesado	DkPz	CN
procesar	DkSA	BI
procesar	DkTI	r
procesión	DkTz	BJ
proceso	DkU8	s
proceso	DkVo	BG
proceso	DkWu	BE
proceso	DkXy	s
proclamación	DkYe	BA
proclamación	DkZe	9
proclamación	Dkab	/
proclamar	Dkba	p
proclamar	DkcD	r
proclamar	Dkcu	r
procreación	B879	Bf
procreación	DkdZ	BT
procrear	Dkes	5
procrear	Dkfl	s
procrear	DkgR	m
procurador	Dkg3	Cn
procurador	Dkje	CD
procuradora	Dkg3	Cn
procuradora	Dkje	CD
procurar	Dklh	r
procurar	DkmM	9
prodigar	DknJ	9
prodigioso	DkoG	u
producción	DkrW	4
producción	DksO	6
producción	DktI	5
producción en serie	Dkpj	Bz
producción industrial	DkuB	Bh
producir	Dkvi	7
producir	Dkwd	p
producir	Dkx0	s
producir	DkxG	u
producir	Dkyg	9
productividad	Dkzd	BF
productivo	Dk0i	x
productivo	Dk1T	v
producto	Dk2C	BF
producto	Dk33	u
producto	Dk3H	w
producto	Dk4l	BF
producto	Dk5q	r
productor	Dk6V	/
productor	Dk7U	BM
productor	Dk8g	B9
productora	Dk8g	B9
profanación	Dk+d	2
profanación	Dk/T	6
profanar	DlA1	o
profanar	DlAN	o
profano	DlBd	l
profano	DlCC	x
profe	DlEB	w
profecía	DlCz	BO
profesar	DlEx	v
profesar	DlFg	y
profesar	DlGS	s
profesional	DlG+	BA
profesional	DlH+	z
profesional	DlIx	w
profesional	DlJh	z
profesional	DlKU	Br
profesional	DlL/	BX
profesional	DlNW	BO
profesional	DlOk	z
profesional	DlPX	Bn
profesión	DlQ+	w
profesor	DlXA	Bx
profesor	DlYx	B3
profesor	Dlao	BG
profesor chiflado	DlUV	BU
profesor de autoescuela	DlVp	BX
profesora	DlTJ	BM
profesora	DlXA	Bx
profesora	DlYx	B3
profesora de autoescuela	DlRu	Bb
profeta	Dlbu	r
profetisa	Dldg	z
profunda	DllF	6
profundamente	Dlf0	0
profundamente	Dlgo	2
profundidad	Dlhe	0
profundizar	DliS	w
profundizar	DljC	v
profundo	Dljx	q
profundo	Dlkb	q
profundo	DllF	6
profética	DlcZ	BH
profético	DlcZ	BH
progenitor	Dlm+	6
progenitor	Dln4	3
progenitor	Dlov	Bm
progenitor	DlqV	Bf
progenitores	Dll/	/
prognosis	Dlr0	z
programa	Dl0D	w
programa	DlzX	s
programación	Dlsn	BC
programación	Dltp	8
programación	Dlul	Ba
programación	Dlv/	BW
programador	DlyY	/
programadora	DlxV	BD
programar	Dl0z	+
programar	Dl1x	w
progresar	Dl2h	w
progresar	Dl3R	y
progresar	Dl4D	t
progresar	Dl4w	BF
progresivamente	Dl8e	8
progresivo	Dl+P	BH
progresivo	Dl9a	1
progresión	Dl51	0
progresión	Dl6p	7
progresión	Dl7k	6
progreso	Dl/W	z
prohibición	DmAJ	2
prohibido	DmA/	r
prohibir	DmBq	o
prohijar	DmCS	k
prole	DmER	w
proletariado	DmFB	9
proletario	DmF+	x
proliferar	DmGv	y
proliferar	DmHh	r
prologar	DmI2	x
prolongación	DmKo	8
prolongación	DmLk	BB
prolongado	DmMl	x
prolongado	DmNW	z
prolongador	DmOJ	BF
prolongar	DmP5	u
prolongar	DmPO	r
prolongar	DmQn	u
prolífico	DmIM	q
promedio	DmRV	v
promedio	DmSE	BL
promesa	DmTP	v
prometedor	DmT+	4
prometedor	DmU2	BY
prometedora	DmU2	BY
prometer	DmW+	m
prometer	DmXk	m
prometerse	DmWO	w
prometida	DmYK	z
prometido	DmY9	q
prometido	DmZn	u
prometido	DmaV	0
prominencia	DmbJ	5
prominente	DmcC	u
prominente	Dmcw	BC
promiscuidad	Dmdy	+
promiscuo	Dmew	o
promiscuo	DmfY	BA
promoción	DmgY	4
promoción	DmhQ	2
promoción	DmiG	+
promoción	DmjE	BY
promotor	Dmkc	y
promotor	DmlO	y
promover	DmmA	q
promover	Dmmq	o
promover	DmnS	r
promulgar	Dmn9	BD
pronombre	DmpA	x
pronombre	Dmpx	BH
pronosticar	Dmq4	BG
prontitud	Dmu6	BP
pronto	Dmw2	t
pronto	DmwJ	t
pronto	Dmxj	r
pronto	DmyO	5
pronunciación	Dm0G	BA
pronunciación	DmzH	/
pronunciamiento militar	Dm1G	Bw
pronunciar	Dm4V	v
pronunciar	Dm5E	BA
pronunciar	Dm6E	u
pronunciarse	Dm22	Bf
pronóstico	DmtS	z
pronóstico	DmuF	1
pronóstico del tiempo	Dmr+	BU
propagación	Dm6y	8
propagación	Dm7u	+
propagación	Dm8s	8
propaganda	Dm+f	BJ
propaganda	Dm9o	3
propagar	Dm/o	q
propagar	DnA9	q
propagar	DnAS	r
propano	DnBn	q
propender	DnCR	w
propensión	DnD7	0
propensión	DnDB	6
propenso	DnFi	BB
propenso a	DnEv	z
propia	DnYS	z
propiciar	DnGj	9
propiciar	DnHg	u
propicio	DnI4	z
propicio	DnIO	q
propicio	DnJr	n
propicio	DnKS	n
propiedad	DnMF	BD
propiedad	DnNI	BH
propiedad	DnOP	Bk
propiedad	DnPz	BP
propiedad	DnRC	0
propiedades	DnK5	BM
propietaria	DnR2	8
propietario	DnSy	y
propietario	DnTk	6
propietario	DnUe	BQ
propina	DnVu	t
propio	DnWb	v
propio	DnXK	k
propio	DnXu	k
propio	DnYS	z
proponente	DnZF	6
proponer	Dna/	p
proponer	Dnbo	m
proponer	DncO	7
proponerse	DnZ/	BA
proporcionado	DndJ	3
proporcionado	Dne7	/
proporcionado	DneA	7
proporcional	Dnf6	2
proporcional	Dngw	8
proporcionalmente	Dnhs	+
proporcionar	Dniq	2
proporcionar	Dnjg	BC
proporcionar	Dnki	y
proporcionar	DnlU	w
proporcionar	DnmE	0
proporción	Dnm4	5
proporción	Dnnx	6
proposición	Dnor	3
proposición	Dnpi	2
proposición	DnqY	BP
proposición	Dnrn	0
proposición	Dnsb	5
propuesta	DnwT	v
propuesta	DnxC	u
propuesta	Dnxw	x
propuesto	Dnyh	t
propulsar	Dnz4	BA
propulsar	DnzO	q
propulsión	Dn04	0
propulsión	Dn1s	1
propulsor	Dn2h	0
propósito	DntU	w
propósito	Dnu1	w
propósito	DnuE	x
propósito	Dnvl	u
prorrogable	Dn3V	BK
prorrogar	Dn6o	v
prorrogar	Dn7X	v
prorrogar	Dn8G	s
prosa	Dn8y	l
prosaico	Dn+N	o
prosaico	Dn9X	2
proscribir	Dn+1	5
proscribir	Dn/u	u
proscripción	DoAc	7
proscripción	DoBX	9
proscrita	DoC+	B2
proscrito	DoC+	B2
proscrito	DoCU	q
prosecución	DoE0	Bq
proseguir	DoGe	+
proseguir	DoHc	r
prosperar	DoIH	p
prosperar	DoIw	r
prosperar	DoJb	q
prosperidad	DoKF	5
prostitución	DoOX	+
prostituir	DoPV	w
prostituta	DoQF	Bb
prostíbulo	DoNk	z
protagonismo	DoRg	+
protagonista	DoSe	BX
protagonista	DoT1	Bh
protagonista	DoVW	7
protagonista	DoWR	8
protagonista	DoXN	BV
protagonizar	DoYi	BB
protección	DoZj	4
protección	Doab	0
protector	DobP	7
protector	Dodh	B/
protector	Dofg	0
protector de pantalla	DocK	BX
protectora	Dodh	B/
proteger	Dog+	o
proteger	DogU	q
protegido	Dohm	t
protegido	DoiT	t
protesta	Dok0	w
protesta	Dolk	v
protesta	DomT	t
protestante	DonA	BG
protestante	DooG	z
protestar	Doo5	y
protestar	Dopr	t
protestar	DoqY	w
protestar	DorI	u
proteína	DojA	BF
protocolo	Dor2	BI
protocolo	Dos+	BQ
prototipo	Dou3	y
protón	DouO	p
provecho	Dovp	BC
provecho	Dowr	v
provechoso	Doxa	x
provechoso	Doy9	v
provechoso	DoyL	y
provechoso	Dozs	x
proveedor	Do0d	2
proveedor	Do1T	2
proveedor	Do2J	3
proveer	Do3z	n
proveer	Do4/	n
proveer	Do4a	l
proveer de	Do3A	z
proveniente de	Do5m	BJ
provenir	Do8Y	q
provenir	Do9C	p
provenir de	Do6v	1
provenir de	Do7k	0
provenza	Do9r	x
proverbial	Do+c	2
proverbio	Do/S	1
providencia	DpAH	7
providencia	DpBC	6
providente	DpB8	w
provincia	DpCs	w
provincia	DpDc	x
provincial	DpEN	BA
provinciano	DpFN	3
provisional	DpGE	BE
provisión	DpHI	6
provisión	DpI2	1
provisión	DpIC	0
provisión	DpJr	3
provisión	DpKi	2
provisorio	DpLY	BD
provisto con	DpMb	BM
provocación	DpNn	BT
provocación	DpO6	BA
provocación	DpP6	9
provocador	DpQ3	4
provocador	DpRv	9
provocador	DpSs	6
provocar	DpTm	p
provocar	DpU8	9
provocar	DpUP	t
provocar	DpV5	r
provocar	DpWk	m
provocativo	DpX8	x
provocativo	DpXK	y
proxeneta	DpYt	B5
proximidad	DpcI	z
proyección	Dpf2	8
proyección	Dpgy	5
proyección	Dphr	1
proyectar	Dpig	o
proyectar	Dpj1	z
proyectar	DpjI	t
proyectar	Dpko	5
proyectil	Dplh	BK
proyecto	Dpo5	u
proyecto	Dppn	BB
proyecto	Dpqo	u
proyecto fin de carrera	Dpmr	CO
proyector	DprW	BZ
prudencia	Dpsv	CK
prudente	Dpu5	BE
prueba	Dpv9	p
prueba	Dpwm	s
prueba	Dpx+	o
prueba	DpxS	s
prueba	Dpym	r
prueba	Dpz4	q
prueba	DpzR	n
prusia	Dp0i	q
práctica	DeCr	w
práctica	DeDb	t
práctica	DeEI	BE
práctica	DeF6	w
práctica	DeFM	u
práctica	DeGq	t
práctica	DeHX	BB
prácticamente	DeIY	0
prácticas	DeN5	2
práctico	DeOv	o
práctico	DeP/	n
práctico	DePX	o
práctico	DeQm	o
práctico	DeRO	o
préstamo	DhqQ	BD
préstamo	DhrT	BG
prímula	DjLm	BI
príncipe	DjSo	t
pródigo	Dko0	v
prófugo	DleT	v
prófugo	DlfC	y
prójimo	DmC2	u
prójimo	DmDk	t
prólogo	DmJn	BB
prórroga	Dn4f	BS
prórroga	Dn5x	3
próspero	DoK+	o
próspero	DoLm	l
próspero	DoML	q
próstata	DoM1	v
prótesis	DokF	v
próxima	Dpe8	6
próximamente	Dpam	u
próximamente	DpbU	0
próximo	Dpc7	n
próximo	Dpdi	s
próximo	Dpe8	6
próximo	DpeO	u
psicoanalista	Dp2K	CV
psicoanálisis	Dp1M	+
psicodélico	Dp4f	z
psicología	Dp5S	2
psicológico	Dp6I	y
psicopático	Dp+h	z
psicosis	Dp/U	s
psicoterapia	DqAA	9
psicóloga	Dp66	B0
psicólogo	Dp66	B0
psicópata	Dp8u	Bz
psiquiatra	DqA9	B1
psiquiatría	DqCy	4
psiquis	DqGG	n
psiquiátrica	DqDq	Bk
psiquiátrico	DqDq	Bk
psíquico	DqFO	4
pub	DqW5	BA
pubertad	DqIy	y
publicación	DqJk	+
publicación	DqKi	7
publicación	DqLd	BB
publicar	DqN/	5
publicar	DqNS	t
publicar	DqO4	v
publicidad	DqPn	9
publicidad	DqQk	1
publicidad	DqRZ	BK
publicitario	DqSj	/
puchero	DqX5	s
puchero	DqYl	p
pucho	DqZO	BF
pudibunda	Dqa8	BG
pudibundo	Dqa8	BG
pudibundo	DqaT	p
pudor	DqcC	v
pudor	Dqcx	t
pudor	Dqde	Bg
pudrirse	Dqe+	n
pueblo	Dqfl	m
pueblo	DqgL	8
pueblo	DqhH	m
puede repetir	Dqht	Br
puedes repetir	DqjY	Bt
puente	DqlF	p
puente	Dqlu	w
puerca	Dqme	l
puerco	DqnD	h
puerco	Dqnk	z
puerco	DqpW	p
puerco espín	DqoX	/
puerro	Dqp/	8
puerta	Dqsk	3
puerta de enlace predeterminada	Dqq7	Bp
puerta principal	Dqtb	BI
puerto	Dquj	n
puerto rico	DqvK	u
pues	Dqv4	Z
pues	DqwR	Z
pues	Dqwq	Z
pues	DqxD	u
pues	Dqxx	f
pues	Dqyv	a
pues	DqzJ	T
pues conj	DqyQ	f
puesta	Dq0w	n
puesta	Dq1X	BO
puesta de sol luna etc	Dqzc	BU
puesto	Dq2l	r
puesto	Dq3Q	f
puesto	Dq3v	z
puesto	Dq6F	m
puesto	Dq6r	p
puesto	Dq7U	7
puesto	Dq8P	BB
puesto	Dq9Q	BC
puesto de trabajo	Dq4i	Bj
puesto que	Dq+S	x
pugilato	Dq/D	v
puja	DrA6	t
puja	DrAX	j
pujar	DrBn	c
pujar	DrCD	BB
pujo	DrDE	1
pulcro	DrD5	i
pulcro	DrEb	g
pulga	DrFz	k
pulgada	DrE7	4
pulgar	DrGX	p
pulgiento	DrHA	o
pulgoso	DrJD	k
pulgón	DrHo	s
pulgón	DrIU	v
pulido	DrJn	h
pulimento	DrKI	x
pulir	DrK5	e
pulir	DrLX	e
pulmonía	DrL1	5
pulmón	DrMu	n
pulpa	DrNV	+
pulpería	DrOT	6
pulpería	DrPN	5
pulpo	DrQG	k
pulsación	DrQq	BG
pulsación	DrRw	1
pulsar	DrSl	g
pulsar	DrTF	h
pulsera	DrTm	r
pulso	DrUR	j
pulverización	DrU0	BD
pulverizador	DrV3	/
pulverizar	DrW2	y
pulverizar	DrXo	u
pulverizar	DrYW	w
pulverizar	DrZG	w
puma	DrZ2	h
punción	Dree	q
punjab	Drgr	d
punta	Drj/	u
punta	Drja	l
punta	Drkt	k
puntapié	DrlR	BE
puntería	DrmV	5
puntería	DrnO	v
punto	Drp/	k
punto	DrpU	r
punto	Drqj	/
punto	Drri	x
punto	DrsT	o
punto de vista	Drn9	BX
puntuación	Drs7	2
puntuación	Drtx	4
puntuación	Drup	7
puntual	Drvk	k
puntual	Drx9	f
puntualidad	DrwI	5
puntualidad	DrxB	8
punzada	Dryc	BK
punzar	Drzm	g
punzón	Dr0G	q
pupa	Dr0w	n
pupila	Dr1X	o
pupitre	Dr1/	o
puramente	Dr2n	x
pureza	Dr39	r
purgante	Dr4o	0
purgar	Dr5/	h
purgar	Dr5c	j
purgar	Dr6g	x
purgatorio	Dr7R	3
purificación	Dr8I	9
purificar	Dr9F	o
purificar	Dr9t	p
purista	Dr+W	Bl
puritana	Dr/7	Bz
puritano	Dr/7	Bz
purito	DsBu	r
puro	DsCZ	Z
puro	DsCy	a
puro	DsDM	a
puro	DsDm	h
puro	DsEH	l
puré	Dr3Y	l
pus	DsFR	g
puta	DsFx	0
putear	DsGl	r
puto	DsHQ	y
putrefacción	DsI6	8
putrefacción	DsIC	4
putrefacción	DsJ2	7
putrefacto	DsKx	o
putrefacto	DsLZ	t
putrefacto	DsMG	t
putrefacto	DsMz	r
puzle	DsNe	m
puñada	DraX	v
puñado	DrbG	s
puñal	DrdP	BP
puñalada	Drby	Bd
puñete	DrfI	u
puño	Drh/	k
puño	DrhI	3
puño	Drij	3
página	DF14	n
página	DF2f	n
pájaro	DGGK	BH
pájaro	DGHR	o
pálida	DGad	BZ
pálida	DGeT	8
pálido	DGdS	g
pálido	DGdy	h
pálido	DGeT	8
páncreas	DG3/	6
pánico	DHBz	h
pánico	DHCU	n
páramo	DIVC	q
párpado	DJTB	/
párrafo	DJV6	v
párrafo	DJVO	s
párrafo	DJWp	v
párroco	DJcb	t
pávido	DM4f	l
péndulo	DPi7	q
pérdida	DRIS	u
pérfido	DR4/	BM
pésame	DUT0	p
pésimo	DUrT	n
pétalo	DU9E	u
pía	DXEx	n
pícaro	DVcF	g
pícaro	DVcl	o
pícaro	DVdN	h
píldora	DWNc	CO
píldora	DWPq	r
píldora anticonceptiva	DWNc	CO
pío	DXEx	n
pólipo	DaaN	n
póliza	Daj8	p
pólvora	Da2j	z
pómez	Da7m	l
pómulo	Da+k	v
póquer	Dbo6	n
póster	DddZ	p
póstumo	DdlN	j
púa	DqGt	g
púa	DqHN	h
púa	DqHu	j
púa	DqIR	h
públicamente	DqMe	0
público	DqTi	j
público	DqUF	o
público	DqUt	t
público	DqVa	Bf
púgil	Dq/y	l
púnica	Drf2	1
púnico	Drf2	1
púrpura	DsEs	l
qatar	DsOE	X
que	Dsjr	Q
que	DtPr	P
que aproveche	DsOb	2
que haces tú por aquí	Dsog	BR
que lata	DsuV	3
que lástima	Dstq	r
que onda	Ds3h	3
que se mejore	DtGG	z
que sí	DtHv	X
que te mejores	DtO2	1
quebrada	DsPR	v
quebrada	DsQA	q
quebradizo	DsQq	w
quebradizo	DsRa	u
quebradizo	DsSI	y
quebrado	DsS6	n
quebrado	DsTh	o
quebrado	DsUJ	p
quebradura	DsUy	z
quebrantado	DsVl	x
quebrantar	DsWW	t
quebrantar	DsXD	s
quebranto	DsXv	y
quebrar	DsZQ	i
quebrar	DsZy	8
quebrarse 	DsYh	v
quedar	Dsbt	BC
quedar	DshI	f
quedar	Dshn	e
quedar	DsiF	e
quedar	Dsij	m
quedar	DsjJ	i
quedar clavado	Dsau	/
quedar con 	Dscv	9
quedar mal	Dsds	z
quedarse	DsgB	k
quedarse	Dsgl	j
quedarse con los brazos cruzados	Dsef	Bi
quehacer	Dsmm	u
quehacer	DsnU	BM
queja	Dspx	o
queja	DsqZ	j
quejar	Dsr4	e
quejarse de	Dsq8	8
quejido	DssW	r
quejido	DstB	p
quemado	DsvM	k
quemadura	Dsw3	0
quemadura	Dsxr	1
quemadura de sol	Dsvw	BH
quemar	Ds09	g
quemar	Ds0c	h
quemar	Dsyg	g
quemar	Dsz7	h
quemar	DszA	e
quemar	Dsze	d
quemazón	Ds1d	v
quemazón	Ds2M	u
quena	Ds26	n
queque	Ds5K	u
querella	Ds78	r
querella	Ds7S	q
querer	Ds+D	e
querer	Ds+h	1
querer	Ds/W	h
querer	Ds8n	e
querer	Ds9F	g
querer	Ds9l	e
querida	DtCB	Bo
querida	DtDp	Br
querida 	Ds/3	j
querido	DtA9	g
querido	DtAa	j
querido	DtCB	Bo
querido	DtDp	Br
querido 	DtBd	k
querubín	DtFU	y
quesería	DtG5	2
quesillo	DtIG	v
queso	DtMn	j
queso azul	DtI1	Bz
queso de cabra	DtKo	BA
queso de oveja	DtLo	/
quicio	DtQO	3
