Hakusana	Homonymia	Sanaluokka	Taivutustiedot
suomenkielinen		adjektiivi, substantiivi	
suomenlaiva		substantiivi	
suomenlammas		substantiivi	
suomenlapinkoira		substantiivi	
suomenmaalainen		substantiivi	
suomenmestari		substantiivi	
suomenmestaruus		substantiivi	
suomenmestaruuskilpailu		substantiivi	
suomenmielinen		adjektiivi	
suomennos		substantiivi	39
suomennostyö		substantiivi	
suomennus		substantiivi	39
suomenopettaja		substantiivi	
suomenpystykorva		substantiivi	
suomenruotsalainen		adjektiivi, substantiivi	
suomenruotsi		substantiivi	
suomensukuinen		adjektiivi	
suomentaa		verbi	54*J
suomentaja		substantiivi	10
suomentua		verbi	52*J
suomenvuohi		substantiivi	
suometsä		substantiivi	
suomettaa		verbi	53*C
suomettua		verbi	52*C
suomettuneisuus		substantiivi	40
suomi		substantiivi	7
suomia		verbi	61
suomimakkara		substantiivi	
suomipoika		substantiivi	
suomirock		substantiivi	
suomisyöjä		substantiivi	
suomu		substantiivi	1
suomuinen		adjektiivi	38
suomukala		substantiivi	
suomuorakas		substantiivi	
suomupeite		substantiivi	
suomus		substantiivi	39
suomustaa		verbi	53
suomustin		substantiivi	33
suomustus		substantiivi	39
suomustusrauta		substantiivi	
suomuurain		substantiivi	
suomyrtti		substantiivi	
suonekas		adjektiivi	41*A
suoneniskentä		substantiivi	
suonenisku		substantiivi	
suonenpuristin		substantiivi	
suonensisäinen		adjektiivi	
suonensisäisesti		adverbi	
suonensyke		substantiivi	
suonenveto		substantiivi	1*F
suonenvetokohtaus		substantiivi	
suoni		substantiivi	26
suoniitty		substantiivi	
suonikalvo		substantiivi	
suonikalvosto		substantiivi	2
suonikas		adjektiivi	41*A
suonikohju		substantiivi	1
suoninen		adjektiivi	38
suonisto		substantiivi	2
suonitus		substantiivi	39
suonkuivatus		substantiivi	
suonojitus		substantiivi	
suonraivaus		substantiivi	
suonsilmä		substantiivi	
suonsilmäke		substantiivi	
suontutkimus		substantiivi	
suopa		substantiivi	10*E
suopayrtti		substantiivi	
suopea		adjektiivi	15
suopeasti		adverbi	99
suopelto		substantiivi	
suoperäinen		adjektiivi	
suopeus		substantiivi	40
suopotkupallo		substantiivi	
suopua		verbi	52*E
suopunki		substantiivi	5*G
suopursu		substantiivi	
suoputki		substantiivi	
suopöllö		substantiivi	
suora		adjektiivi, substantiivi	10
suora-ammunta		substantiivi	9*J, 50
suoraan		adverbi	99
suoraa päätä			99
suorahaku		substantiivi	50
suorahakukonsultti		substantiivi	
suorahampainen		adjektiivi	
suorahiuksinen		adjektiivi	
suorakaide		substantiivi	50
suorakauppa		substantiivi	50
suorakorvaus		substantiivi	50
suorakulma		substantiivi	50, 51
suorakulmain		substantiivi	50
suorakulmainen		adjektiivi	
suorakulmio		substantiivi	50
suorakylvö		substantiivi	
suorakäyttö		substantiivi	50
suoralinjainen		adjektiivi	
suoraluonteinen		adjektiivi	
suoraluontoinen		adjektiivi	
suoramainonta		substantiivi	50
suoramainos		substantiivi	50
suoramarkkinointi		substantiivi	50
suoramyynti		substantiivi	50
suoranaan		adverbi	99
suoranainen		adjektiivi	38
suoranaisesti		adverbi	99
suoraommel		substantiivi	50, 51
suoraommelkone		substantiivi	
suorapankki		substantiivi	50
suorapuheinen		adjektiivi	
suorarunkoinen		adjektiivi	
suoraryhtinen		adjektiivi	
suorasanainen		adjektiivi	
suoraselkäinen		adjektiivi	
suoraselkäisyys		substantiivi	
suorasiipinen		adjektiivi, substantiivi	
suorastaan		adverbi	99
suorasti		adverbi	99
suorasuihkutus		substantiivi	50
suorasuihkutusmoottori		substantiivi	
suorasuinen		adjektiivi	
suorasukainen		adjektiivi	
suorasukaisesti		adverbi	99
suorasukaisuus		substantiivi	40
suorasuu		substantiivi	50
suorasuuntaus		substantiivi	50
suorasuuntaustykki		substantiivi	5*A
suorasäärinen		adjektiivi	
suoratoistaa		verbi	
suoratoisto		substantiivi	50
suoratoistopalvelu		substantiivi	
suoratukkainen		adjektiivi	
suoravartinen		adjektiivi	
suoraveloitus		substantiivi	50
suoraviivainen		adjektiivi	
suoraviivaisesti		adverbi	99
suoraviivaisuus		substantiivi	
suorentaa		verbi	54*J
suoreta		verbi	72
suoria		verbi	61
suoristaa		verbi	53
suoristautua		verbi	52*F
suoristella		verbi	67
suoristelu		substantiivi	2
suoristua		verbi	52
suoristus		substantiivi	39
suoristusrauta		substantiivi	
suorite		substantiivi	48*C
suoritella		verbi	67*C
suoritin		substantiivi	33*C
suorittaa		verbi	53*C
suorittaja		substantiivi	10
suoritus		substantiivi	39
suoritusaika		substantiivi	9*D
suoritusarvo		substantiivi	
suorituskeskeinen		adjektiivi	
suorituskyky		substantiivi	
suorituskykyinen		adjektiivi	
suoritusmerkintä		substantiivi	
suoritusnopeus		substantiivi	
suoritusohje		substantiivi	
suorituspaikka		substantiivi	
suorituspaine		substantiivi	
suorituspalkka		substantiivi	
suorituspiste		substantiivi	
suoritusporras		substantiivi	
suoritustapa		substantiivi	
suoritustila		substantiivi	
suoritusyhteiskunta		substantiivi	
suorituttaa		verbi	53*C
suoriutua		verbi	52*F
suortua		verbi	52*K
suortuva		substantiivi	10
suoruumis		substantiivi	
suoruus		substantiivi	40
suosaareke		substantiivi	
suosia		verbi	61
suosija		substantiivi	12
suosikki		substantiivi	5*A
suosikkiasema		substantiivi	
suosikkijoukkue		substantiivi	
suosikkijärjestelmä		substantiivi	
suosikkikirja		substantiivi	
suosikkikirjailija		substantiivi	
suosinta		substantiivi	9*J
suosio		substantiivi	3
suosiolahja		substantiivi	
suosiollinen		adjektiivi	38
suosiollisesti		adverbi	99
suosiollisuus		substantiivi	40
suosionosoitus		substantiivi	
suosirri		substantiivi	
suositella		verbi	67*C
suosittaa		verbi	53*C
suosittaja		substantiivi	10
suosittelija		substantiivi	12
suosittu		adjektiivi	1*C
suosittuus		substantiivi	40
suosittuusjärjestys		substantiivi	
suosituimmuus		substantiivi	40
suosituimmuusasema		substantiivi	
suosituimmuusehto		substantiivi	
suosituimmuusjärjestelmä		substantiivi	
suosituimmuuslauseke		substantiivi	
suositus		substantiivi	39
suositushinta		substantiivi	
suosituskirje		substantiivi	
suostua		verbi	52
suostumus		substantiivi	39
suostutella		verbi	67*C
suostuttaa		verbi	53*C
suostuttelu		substantiivi	2
suostuvainen		adjektiivi	38
suotaa		verbi	53*F
suotautua		verbi	52*F
suotava		adjektiivi	10
suotavuus		substantiivi	40
suotta		adverbi	99
suotuinen		adjektiivi	38
suotuisa		adjektiivi	10
suotuisasti		adverbi	99
suotuisuus		substantiivi	40
suotyyppi		substantiivi	
suova		substantiivi	10
suoviljely		substantiivi	
suovilla		substantiivi	9
suoyhdistymä		substantiivi	
suoyhdistymätyyppi		substantiivi	
supata		verbi	73*B
supatella		verbi	67*C
supattaa		verbi	53*C
supattelu		substantiivi	2
supatus		substantiivi	39
super‑			
superbakteeri		substantiivi	
superego		substantiivi	
superfosfaatti		substantiivi	
superjulkkis		substantiivi	
superlatiivi		substantiivi	5
superlatiivinen		adjektiivi	38
superlatiivisuus		substantiivi	40
supermarket		substantiivi	
supermarketti		substantiivi	
supermies		substantiivi	
supermyrkky		substantiivi	
supernova		substantiivi	
superraskas		adjektiivi	
superrikas		adjektiivi	
superruoka		substantiivi	
supersankari		substantiivi	
supersooninen		adjektiivi	38
supersuurpujottelu		substantiivi	
supertankkeri		substantiivi	
supertietokone		substantiivi	
supertulivuori		substantiivi	26
supertähti		substantiivi	
supervalta		substantiivi	
supervuoro		substantiivi	
supervuoropari		substantiivi	5
supeta		verbi	72*B
supi		substantiivi	5
supikoira		substantiivi	
supina		substantiivi	12
supinaatio		substantiivi	3
supista		verbi	66
supistaa		verbi	53
supistaja		substantiivi	10
supistajalihas		substantiivi	
supistella		verbi	67
supistelma		substantiivi	10
supistelu		substantiivi	2
supistua		verbi	52
supistuma		substantiivi	10
supistus		substantiivi	39
supisuomalainen		adjektiivi	
supisuomalaisesti		adverbi	
supisuomalaisuus		substantiivi	
supiturkki		substantiivi	5*A
suplementti		substantiivi	5*C
suplementtikulma		substantiivi	
supliikki		substantiivi, adjektiivi	5*A
supliikkimies		substantiivi	
supliikkinainen		substantiivi	
supo		substantiivi	1
suppa		substantiivi	10*B
suppailla		verbi	67
suppailu		substantiivi	2
suppalampi		substantiivi	
suppaus		substantiivi	39
suppea		adjektiivi	15
suppea-alainen		adjektiivi	
suppeasanainen		adjektiivi	
suppeasti		adverbi	99
suppeasuinen		adjektiivi	
suppeuma		substantiivi	10
suppeus		substantiivi	40
suppeuttaa		verbi	53*C
suppeutua		verbi	52*F
suppeutuma		substantiivi	10
suppilo		substantiivi	2
suppilokukka		substantiivi	
suppilovahvero		substantiivi	
suppleetio		substantiivi	3
suppo	1	substantiivi	1*B
suppo	2	substantiivi	1*B
supportiivinen		adjektiivi	38
suppositorio		substantiivi	3
suppuun		adverbi	99
suprajohde		substantiivi	
suprajohtava		adjektiivi	
suprajohtavuus		substantiivi	
suprajuokseva		adjektiivi	
supranaturalismi		substantiivi	
supranaturalistinen		adjektiivi	
supraneste		substantiivi	
supranormaali		adjektiivi	
supratila		substantiivi	
supukka		substantiivi	14*A
supulla		adverbi	99
supullaan		adverbi	99
supulle		adverbi	99
supulleen		adverbi	99
supussa		adverbi	99
suputtaa		verbi	53*C
surahdella		verbi	67*F
surahtaa		verbi	53*F
surauttaa		verbi	53*C
sureksia		verbi	61
surettaa		verbi	53*C
sureva		adjektiivi	10
surfaaja		substantiivi	10
surfailija		substantiivi	12
surfailla		verbi	67
surfailu		substantiivi	2
surfata		verbi	73
surfaus		substantiivi	39
surffaaja		substantiivi	10
surffailija		substantiivi	12
surffailla		verbi	67
surffailu		substantiivi	2
surffata		verbi	73
surffaus		substantiivi	39
surffilauta		substantiivi	
surfilauta		substantiivi	
surina		substantiivi	12
surista		verbi	66
suristaa		verbi	53
suristella		verbi	67
surkastaa		verbi	53
surkastua		verbi	52
surkastuma		substantiivi	10
surkastuttaa		verbi	53*C
surkea		adjektiivi	15
surkeasti		adverbi	99
surkeilematon		adjektiivi	34*C
surkeilla		verbi	67
surkeilu		substantiivi	2
surkeus		substantiivi	40
surkimus		substantiivi	39
surku		substantiivi	99
surkuhupainen		adjektiivi	
surkuhupaisa		adjektiivi	
surkutella		verbi	67*C
surkuttelu		substantiivi	2
surma		substantiivi	10
surmaaja		substantiivi	10
surma-ase		substantiivi	
surmakka		substantiivi	14*A
surmanajaja		substantiivi	
surmanajo		substantiivi	
surmanenkeli		substantiivi	
surmanisku		substantiivi	
surmanloukku		substantiivi	
surmanluoti		substantiivi	
surmata		verbi	73
surmatyö		substantiivi	
surmauttaa		verbi	53*C
surra		verbi	67
surrata		verbi	73
surrealismi		substantiivi	5
surrealisti		substantiivi	5
surrealistinen		adjektiivi	38
surrogaatti		substantiivi	5*C
suru		substantiivi	1
suruaika		substantiivi	9*D
suruharso		substantiivi	
suruinen		adjektiivi	38
suruissaan		adverbi	99
surujuhla		substantiivi	
surukukka		substantiivi	
suruliputtaa		verbi	
suruliputus		substantiivi	
surullinen		adjektiivi	38
surullisenkuuluisa		adjektiivi	
surullisesti		adverbi	99
surullisuus		substantiivi	40
surumarssi		substantiivi	
surumielellä		adverbi	99
surumielin		adverbi	99
surumielinen		adjektiivi	
surumielisesti		adverbi	99
surumielisyys		substantiivi	
surunappi		substantiivi	
surunauha		substantiivi	
surunkyynel		substantiivi	
surunlapsi		substantiivi	
surunpäivä		substantiivi	
surunsekainen		adjektiivi	
surunvalittaja		substantiivi	
surunvalittelu		substantiivi	
surunvalitteluadressi		substantiivi	
surunvalittelukirja		substantiivi	
surunvalittelukukka		substantiivi	
surunvalittelukäynti		substantiivi	
surunvalittelusähke		substantiivi	
surunviesti		substantiivi	
surunvoittoinen		adjektiivi	
surupuku		substantiivi	
surupukuinen		adjektiivi	
surureuna		substantiivi	
surureunainen		adjektiivi	
surureunus		substantiivi	
sururyhmä		substantiivi	
surusaatto		substantiivi	
surusaattue		substantiivi	
surusanoma		substantiivi	
surusilmäinen		adjektiivi	
surutalo		substantiivi	
suruton		adjektiivi, substantiivi	34*C
suruttomasti		adverbi	99
suruttomuus		substantiivi	40
surutyö		substantiivi	
suruvaippa		substantiivi	
suruviesti		substantiivi	
survaista		verbi	66
survaisu		substantiivi	2
surve		substantiivi	48
surviainen		substantiivi	38
surviaissääski		substantiivi	
survin		substantiivi	33
survinastia		substantiivi	
survoa		verbi	52
survoin		substantiivi	33
survos		substantiivi	39
survoutua		verbi	52*F
sus		interjektio	99
sushi		substantiivi	5
susi		substantiivi	27
susiaita		substantiivi	
susihukka		substantiivi	
susijahti		substantiivi	5*F
susikoira		substantiivi	
susilapsi		substantiivi	
susilauma		substantiivi	
susipari		substantiivi	5
susipuu		substantiivi	
susiraja		substantiivi	9
susiruma		adjektiivi	
susitarha		substantiivi	
susiturkki		substantiivi	5*A
suspensio		substantiivi	3
sussu		substantiivi	1
sutaista		verbi	66
sutata		verbi	73*C
sutenööri		substantiivi	5
suti		substantiivi	5*F
sutia		verbi	61*F
sutina		substantiivi	12
sutjakasti		adverbi	99
sutjakka		adjektiivi	14*A
sutkaus		substantiivi	39
sutkauttaa		verbi	53*C
sutki		adjektiivi	5
suttaantua		verbi	52*J
suttautua		verbi	52*F
suttu		substantiivi	1*C
suttuinen		adjektiivi	38
suttupaperi		substantiivi	
suttupytty		substantiivi	
suttura		substantiivi	12
suu		substantiivi	18
suualue		substantiivi	
suuaukko		substantiivi	
suude		substantiivi	48*F
suudella		verbi	67*F
suudelma		substantiivi	10
suudita		verbi	69
suufi		substantiivi	5
suufilainen		adjektiivi	38
suufilaisuus		substantiivi	40
suuhaara		substantiivi	
suuhinen		substantiivi	38
suuhunpantava		substantiivi	10
suuhygienisti		substantiivi	5
suukappale		substantiivi	
suukapula		substantiivi	
suukirurgia		substantiivi	
suukko		substantiivi	1*A
suukkonen		substantiivi	38
suukkosuu		substantiivi	
suukopu		substantiivi	1*E
suula		substantiivi	10
suulaasti		adverbi	99
suulake		substantiivi	48*A
suulaki		substantiivi	7*D
suulakihalkio		substantiivi	
suulas		adjektiivi	41
suulaus		substantiivi	40
suuliekki		substantiivi	
suullinen		adjektiivi, substantiivi	38
suullisesti		adverbi	99
suullisuus		substantiivi	40
suuluukku		substantiivi	
suunanto		substantiivi	
suunkostuke		substantiivi	
suunnanmuutos		substantiivi	
suunnanmääritys		substantiivi	
suunnannäyttäjä		substantiivi	10
suunnanvaihdin		substantiivi	
suunnanvaihdos		substantiivi	
suunnanvaihto		substantiivi	
suunnanvaihtokytkin		substantiivi	
suunnata		verbi	73*J
suunnaton		adjektiivi	34*C
suunnattomasti		adverbi	99
suunnattomuus		substantiivi	40
suunnikas		substantiivi	41*A
suunnilleen		adverbi	99
suunnilleenkaan		adverbi	99
suunniltaan		adverbi	99
suunnin		substantiivi	33*J
suunnistaa		verbi	53
suunnistaja		substantiivi	10
suunnistautua		verbi	52*F
suunnistus		substantiivi	39
suunnistuskartta		substantiivi	
suunnistuskilpailu		substantiivi	
suunnistustaulu		substantiivi	
suunnite		substantiivi	48*C
suunnitella		verbi	67*C
suunnitelma		substantiivi	10
suunnitelmallinen		adjektiivi	38
suunnitelmallisesti		adverbi	99
suunnitelmallisuus		substantiivi	40
suunnitelmatalous		substantiivi	
suunnitteilla		adverbi	99
suunnittelematon		adjektiivi	34*C
suunnittelemattomasti		adverbi	99
suunnittelemattomuus		substantiivi	40
suunnittelija		substantiivi	12
suunnittelu		substantiivi	2
suunnitteluinsinööri		substantiivi	
suunnittelupäällikkö		substantiivi	
suunnittelutyö		substantiivi	
suunnitteluvaihe		substantiivi	
suunpieksentä		substantiivi	9*J
suunpieksäjä		substantiivi	10
suunpieksäntä		substantiivi	
suunsoittaja		substantiivi	
suunsoitto		substantiivi	
suunta		substantiivi	10*J
suunta-antenni		substantiivi	
suuntain		substantiivi	33
suuntainen		adjektiivi	38
suuntaisesti		adverbi	99
suuntaissärmiö		substantiivi	
suuntaisuus		substantiivi	40
suuntakehä		substantiivi	
suuntakiista		substantiivi	
suuntakuvio		substantiivi	
suuntamerkki		substantiivi	
suuntamikrofoni		substantiivi	
suuntanumero		substantiivi	
suuntanuoli		substantiivi	
suuntapiirrin		substantiivi	
suuntataju		substantiivi	
suuntaus		substantiivi	39
suuntausantenni		substantiivi	
suuntauslaite		substantiivi	
suuntautua		verbi	52*F
suuntautumisliike		substantiivi	
suuntautumistaipuminen		substantiivi	38
suuntautumisvaihtoehto		substantiivi	
suuntautuneisuus		substantiivi	40
suuntavaikutelma		substantiivi	
suuntavaisto		substantiivi	
suuntavakaa		adjektiivi	
suuntavakavuus		substantiivi	
suuntaviitta		substantiivi	9*C
suuntaviiva		substantiivi	
suuntavilkku		substantiivi	
suuntia		verbi	61*J
suuntima		substantiivi	10
suunvuoro		substantiivi	
suuontelo		substantiivi	
suuosa		substantiivi	
suupala		substantiivi	
suupalanen		substantiivi	
suupaltti		adjektiivi, substantiivi	5*C
suupieli		substantiivi	
suupuhallettu		adjektiivi	1*C
suupuhe		substantiivi	
suupuoli		substantiivi	
suur-			
suura		substantiivi	10
suuraakkonen		substantiivi	
suure		substantiivi	48
suurellinen		adjektiivi	38
suurellisesti		adverbi	99
suurellisuus		substantiivi	40
suurelokuva		substantiivi	
suurenergiafysiikka		substantiivi	
suurenmoinen		adjektiivi	38
suurenmoisesti		adverbi	99
suurenmoisuus		substantiivi	40
suurennella		verbi	67*J
suurennos		substantiivi	39
suurennus		substantiivi	39
suurennuskoje		substantiivi	
suurennuskone		substantiivi	
suurennuskyky		substantiivi	
suurennuslasi		substantiivi	
suurennuttaa		verbi	53*C
suurentaa		verbi	54*J
suurentua		verbi	52*J
suurentuma		substantiivi	10
suuresti		adverbi	99
suureta		verbi	72
suurhanke		substantiivi	
suurherttua		substantiivi	
suurherttuakunta		substantiivi	
suurhyökkäys		substantiivi	
suuri		adjektiivi	26
suuri‑			
suuriannoksinen		adjektiivi	
suuriarvoinen		adjektiivi	
suurieleinen		adjektiivi	
suurieleisesti		adverbi	99
suurieleisyys		substantiivi	40
suurienergiainen		adjektiivi	
suurihuokoinen		adjektiivi	
suurikaliiberinen		adjektiivi	
suurikaliiperinen		adjektiivi	
suurikasvuinen		adjektiivi	
suurikokoinen		adjektiivi	
suurilehtinen		adjektiivi	
suurilevikkinen		adjektiivi	
suurilmasto		substantiivi	
suurima		substantiivi	13
suurimerkityksinen		adjektiivi	
suurimittainen		adjektiivi	
suurimo		substantiivi	2
suurimolekyylinen		adjektiivi	38
suurimuotoinen		adjektiivi	
suurin piirtein			99
suurinumeroinen		adjektiivi	
suurinumeroisesti		adverbi	99
suuripalkkainen		adjektiivi	
suuriruhtinaanmaa		substantiivi	
suuriruhtinas		substantiivi	50
suuriruhtinaskunta		substantiivi	
suuriruhtinatar		substantiivi	50
suuriruokainen		adjektiivi	
suuriruutuinen		adjektiivi	
suurisanainen		adjektiivi	
suurisanaisesti		adverbi	99
suurisanaisuus		substantiivi	
suurisilmäinen		adjektiivi	
suurisuinen		adjektiivi	
suurisuisesti		adverbi	99
suurisuisuus		substantiivi	40
suurisuuntainen		adjektiivi	
suurisuuntaisesti		adverbi	
suurisuuntaisuus		substantiivi	
suuritehoinen		adjektiivi	
suurituloinen		adjektiivi, substantiivi	
suuritöinen		adjektiivi	
suuritöisyys		substantiivi	40
suuriääninen		adjektiivi	
suuriäänisesti		adverbi	99
suuriäänisyys		substantiivi	40
suurjännite		substantiivi	
suurjännitejohto		substantiivi	
suurjännitekaapeli		substantiivi	
suurjännitelinja		substantiivi	
suurjännitteinen		adjektiivi	
suurkapitalismi		substantiivi	
suurkapitalisti		substantiivi	
suurkapitalistinen		adjektiivi	
suurkaupunki		substantiivi	
suurkeittiö		substantiivi	
suurkiinteistö		substantiivi	
suurkiitos		substantiivi	
suurkopio		substantiivi	
suurkuluttaja		substantiivi	
suurkäräjät		substantiivi	
suurlakko		substantiivi	
suurlautta		substantiivi	
suurliikemies		substantiivi	
suurloosi		substantiivi	
suurlähettiläs		substantiivi	
suurlähetystö		substantiivi	
suurmaanomistaja		substantiivi	
suurmestari		substantiivi	
suurmies		substantiivi	
suurmyymälä		substantiivi	
suurmäki		substantiivi	
suurnainen		substantiivi	
suurnopeusjuna		substantiivi	
suuronnettomuus		substantiivi	
suurpaine		substantiivi	
suurpakkaus		substantiivi	
suurperhe		substantiivi	
suurpeto		substantiivi	
suurpiirteinen		adjektiivi	
suurpiirteisesti		adverbi	99
suurpiirteisyys		substantiivi	40
suurpujottelu		substantiivi	
suurpääoma		substantiivi	
suurriista		substantiivi	
suurrikollinen		substantiivi	
suurristi		substantiivi	
suurristikko		substantiivi	
suursaavutus		substantiivi	
suursiivous		substantiivi	39
suursijoittaja		substantiivi	
suursnautseri		substantiivi	
suursota		substantiivi	
suursuomalainen		adjektiivi	
suursuosikki		substantiivi	
suursyömäri		substantiivi	
suursäätila		substantiivi	
suurtaajuinen		adjektiivi	
suurtaajuus		substantiivi	
suurtaajuustekniikka		substantiivi	
suurtalous		substantiivi	
suurtapahtuma		substantiivi	
suurtapaus		substantiivi	
suurtehohälytin		substantiivi	
suurteholaser		substantiivi	
suurtehotutka		substantiivi	
suurteollisuus		substantiivi	
suurteos		substantiivi	
suurtila		substantiivi	
suurtilallinen		substantiivi	
suurtyö		substantiivi	
suuruinen		adjektiivi	38
suurus		substantiivi	39
suurustaa		verbi	53
suuruste		substantiivi	48
suurustus		substantiivi	39
suuruudenhullu		adjektiivi	
suuruudenhulluus		substantiivi	
suuruus		substantiivi	40
suuruusharha		substantiivi	
suuruusjärjestys		substantiivi	
suuruusluokka		substantiivi	10*A
suurvalta		substantiivi	
suurvalta-aika		substantiivi	9*D
suurvalta-asema		substantiivi	
suurvaltapoliittinen		adjektiivi	
suurvaltapolitiikka		substantiivi	
suurvaltaryhmitys		substantiivi	
suurvisiiri		substantiivi	6
suurvoitto		substantiivi	
suuryhtiö		substantiivi	
suusanallinen		adjektiivi	
suuseksi		substantiivi	
suusola		substantiivi	
suussasulava		adjektiivi	
suustaladattava		adjektiivi	10
suusuihke		substantiivi	
suusumute		substantiivi	
suutahtaa		verbi	53*F
suutari		substantiivi	6
suutarinkielo		substantiivi	
suutarinlamppu		substantiivi	
suutarinliike		substantiivi	
suutarinlohi		substantiivi	
suutarinverstas		substantiivi	
suutaroida		verbi	62
suutarointi		substantiivi	5*J
suutauti		substantiivi	
suute		substantiivi	48*C
suutelo		substantiivi	2
suutelu		substantiivi	2
suutelutauti		substantiivi	
suutia		verbi	61*F
suutin		substantiivi	33*C
suuttua		verbi	52*C
suuttumus		substantiivi	39
suutuksiin		adverbi	99
suutuksissa		adverbi	99
suutuksissaan		adverbi	99
suutuntuma		substantiivi	
suutuspäissä		adverbi	99
suutuspäissään		adverbi	
suututtaa		verbi	53*C
suuvesi		substantiivi	
suuvärkki		substantiivi	
suuväylä		substantiivi	
suvaita		verbi	69
suvaitsematon		adjektiivi	34*C
suvaitsemattomasti		adverbi	99
suvaitsemattomuus		substantiivi	40
suvaitseva		adjektiivi	10
suvaitsevainen		adjektiivi	38
suvaitsevaisesti		adverbi	99
suvaitsevaisuus		substantiivi	40
suvaitsevasti		adverbi	99
suvaitsevuus		substantiivi	40
suvakki		substantiivi	5*A
suvanto		substantiivi	1*J
suvantoinen		adjektiivi	38
suvantovaihe		substantiivi	
suvehtia		verbi	61*F
suvereeni		adjektiivi	5
suvereeninen		adjektiivi	38
suvereenisesti		adverbi	99
suvereenisti		adverbi	99
suvereenisuus		substantiivi	40
suvereenius		substantiivi	40
suvereniteetti		substantiivi	5*C
suvi		substantiivi	7
suvijuhla		substantiivi	
suvinen		adjektiivi	38
suvipäivä		substantiivi	
suvituuli		substantiivi	
Suvivirsi		substantiivi	
suviyö		substantiivi	
suvuittain		adverbi	99
suvullinen		adjektiivi	38
suvullisesti		adverbi	99
suvullisuus		substantiivi	40
suvunjatkaja		substantiivi	
suvunjatkamiskyky		substantiivi	
suvuton		adjektiivi	34*C
suvuttomasti		adverbi	99
suvuttomuus		substantiivi	40
swahili		substantiivi	5
swahilin kieli			
swap		substantiivi	5
svedu		substantiivi	1
sveedu		substantiivi	1
sveitsiläinen		adjektiivi, substantiivi	38
sveitsiläiskaarti		substantiivi	
sveitsinjuusto		substantiivi	
sveitsinleike		substantiivi	
sveitsinsaksa		substantiivi	
svekomaani		substantiivi	5
svengata		verbi	73
svengi		substantiivi	5
svenski		substantiivi	5
svetari		substantiivi	6
svetisismi		substantiivi	5
sviitti		substantiivi	5*C
swing		substantiivi	5
svingi		substantiivi	5
syaani		substantiivi	5
syaanivety		substantiivi	
syaanivetyhappo		substantiivi	
syaaniyhdiste		substantiivi	
syanidi		substantiivi	5
syankalium		substantiivi	5
syanobakteeri		substantiivi	
sydämeenkäypä		adjektiivi	
sydämeenkäyvä		adjektiivi	
sydämellinen		adjektiivi	38
sydämellisesti		adverbi	99
sydämellisyys		substantiivi	40
sydämenahdistus		substantiivi	
sydämenasia		substantiivi	
sydämenhieronta		substantiivi	
sydämenkuva		substantiivi	
sydämenlaajentuma		substantiivi	
sydämenlyönti		substantiivi	
sydämenmuotoinen		adjektiivi	
sydämenpysähdys		substantiivi	
sydämensiirto		substantiivi	
sydämensiirtoleikkaus		substantiivi	
sydämensiirtopotilas		substantiivi	
sydämensivistys		substantiivi	
sydämensyke		substantiivi	
sydämentahdistin		substantiivi	
sydämentykytys		substantiivi	
sydämettömyys		substantiivi	40
sydämettömästi		adverbi	99
sydämetön		adjektiivi	34*C
‑sydäminen		adjektiivi	38
sydämistyä		verbi	52
‑sydämisyys		substantiivi	40
sydämys		substantiivi	39
sydämystyä		verbi	52
sydän		substantiivi	33
sydänala		substantiivi	
sydänalue		substantiivi	
sydänambulanssi		substantiivi	
sydäneteinen		substantiivi	
sydänfilmi		substantiivi	
sydänhalkeama		substantiivi	
sydänhalvaus		substantiivi	
sydänhermo		substantiivi	
sydänhermovika		substantiivi	9*D
sydänhieronta		substantiivi	
sydänhäiriö		substantiivi	
sydäninfarkti		substantiivi	
sydäninsuffisienssi		substantiivi	
sydäninvalidi		substantiivi	
sydäniskuri		substantiivi	
sydänjuuret		substantiivi	
sydänkammio		substantiivi	
sydänkesä		substantiivi	
sydän-keuhkokone		substantiivi	
sydänkipu		substantiivi	
sydänkirurgi		substantiivi	
sydänkirurgia		substantiivi	
sydänkohtaus		substantiivi	
sydänkuolema		substantiivi	
sydänkuolleisuus		substantiivi	
sydänkäpy		substantiivi	
sydänkäpynen		substantiivi	38
sydänkäyrä		substantiivi	
sydänlaho		substantiivi	
sydänlanka		substantiivi	
sydänleikkaus		substantiivi	
sydänlihas		substantiivi	
sydänlihaskudos		substantiivi	
sydänlihastulehdus		substantiivi	
sydänlihasvaurio		substantiivi	
sydänläppä		substantiivi	
sydänlääke		substantiivi	
sydänmaa		substantiivi	
sydänmuuri		substantiivi	
sydänosa		substantiivi	
sydänperäinen		adjektiivi	
sydänpotilas		substantiivi	
sydänpuolisko		substantiivi	
sydänpussi		substantiivi	
sydänpussitulehdus		substantiivi	
sydänpuu		substantiivi	
sydänpysähdys		substantiivi	
sydänpäivä		substantiivi	
sydänsairas		adjektiivi, substantiivi	
sydänsairaus		substantiivi	
sydänsiirto		substantiivi	
sydänsuru		substantiivi	
sydänsuvi		substantiivi	
sydänsähkökäyrä		substantiivi	
sydäntalvi		substantiivi	
sydäntauti		substantiivi	
sydäntautilääkäri		substantiivi	
sydäntautinen		adjektiivi, substantiivi	
sydäntautioppi		substantiivi	
sydäntenmurskaaja		substantiivi	
sydäntoiminta		substantiivi	
sydäntulehdus		substantiivi	
sydäntutkimus		substantiivi	
sydäntyä		verbi	52*J
sydänvaiva		substantiivi	
